movie_title,domestic_distributor,budget,domestic_opening_sales,earliest_release,rating,runtime_minutes,genres,summary_sales,crew_list,cast_list
Bridge to Terabithia,Walt Disney Studios Motion Pictures,,22564612.0,2007-02-16,PG,96.0,"['Drama', 'Family', 'Fantasy']","[['Domestic', 82272442], ['International', 55314621], ['Worldwide', 137587063]]","['Gabor Csupo', 'Jeff Stockwell', 'David Paterson', 'Katherine Paterson', 'Lauren Levine', 'Hal Lieberman', 'David Paterson', 'Aaron Zigman', 'Michael Chapman', 'John Gilbert', 'Robert Gillies']","['Josh Hutcherson', 'AnnaSophia Robb', 'Zooey Deschanel', 'Robert Patrick']"
The Pink Panther,Sony Pictures Entertainment (SPE),80000000.0,20220412.0,2006-02-09,PG,93.0,"['Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']","[['Domestic', 82226474], ['International', 81889423], ['Worldwide', 164115897]]","['Shawn Levy', 'Len Blum', 'Steve Martin', 'Len Blum', 'Michael Saltzman', 'Maurice Richlin', 'Blake Edwards', 'Robert Simonds', 'Christophe Beck', 'Jonathan Brown', 'George Folsey Jr.', 'Brad Wilhite', 'Lilly Kilvert']","['Steve Martin', 'Kevin Kline', 'Jean Reno', 'Emily Mortimer']"
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,135000000.0,35316382.0,2016-06-02,PG-13,112.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","[['Domestic', 82051601], ['International', 163572247], ['Worldwide', 245623848]]","['Dave Green', 'Josh Appelbaum', 'André Nemec', 'Peter Laird', 'Kevin Eastman', 'Michael Bay', 'Andrew Form', 'Brad Fuller', 'Scott Mednick', 'Galen Walker', 'Steve Jablonsky', 'Lula Carvalho', 'Bob Ducsay', 'Jim May', 'Martin Laing']","['Megan Fox', 'Will Arnett', 'Tyler Perry', 'Laura Linney']"
The Post,Twentieth Century Fox,50000000.0,526011.0,2017-12-22,PG-13,116.0,['Drama'],"[['Domestic', 81903458], ['International', 97866009], ['Worldwide', 179769467]]","['Steven Spielberg', 'Liz Hannah', 'Josh Singer', 'Kristie Macosko Krieger', 'Amy Pascal', 'Steven Spielberg', 'John Williams', 'Janusz Kaminski', 'Sarah Broshar', 'Michael Kahn', 'Rick Carter']","['Meryl Streep', 'Tom Hanks', 'Sarah Paulson', 'Bob Odenkirk']"
Alien,Twentieth Century Fox,11000000.0,3527881.0,1979-05-25,R,117.0,"['Horror', 'Sci-Fi']","[['Domestic', 81900459], ['International', 24385063], ['Worldwide', 106285522]]","['Ridley Scott', ""Dan O'Bannon"", ""Dan O'Bannon"", 'Ronald Shusett', 'Gordon Carroll', 'David Giler', 'Walter Hill', 'Jerry Goldsmith', 'Derek Vanlint', 'David Crowther', 'Terry Rawlings', 'Peter Weatherley', 'Michael Seymour']","['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
Jaws 2,Universal Pictures,,9866023.0,1978-06-16,,116.0,"['Adventure', 'Horror', 'Thriller']","[['Domestic', 81766007], ['International', 106118000], ['Worldwide', 187884007]]","['Jeannot Szwarc', 'Peter Benchley', 'Carl Gottlieb', 'Howard Sackler', 'David Brown', 'Richard D. Zanuck', 'John Williams', 'Michael C. Butler', 'Steve Potter', 'Arthur Schmidt', 'Neil Travis', 'Joe Alves']","['Roy Scheider', 'Lorraine Gary', 'Murray Hamilton', 'Joseph Mascolo']"
Maze Runner: The Scorch Trials,Twentieth Century Fox,61000000.0,30316510.0,2015-09-09,PG-13,131.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","[['Domestic', 81697192], ['International', 230598864], ['Worldwide', 312296056]]","['Wes Ball', 'T.S. Nowlin', 'James Dashner', 'Marty Bowen', 'Wyck Godfrey', 'Ellen Goldsmith-Vein', 'Joe Hartwick Jr.', 'Lee Stollman', 'John Paesano', 'Gyula Pados', 'Dan Zimmerman', 'Daniel T. Dorrance']","[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster', 'Giancarlo Esposito']"
Heaven Can Wait,Paramount Pictures,,3652486.0,1978-06-28,,101.0,"['Comedy', 'Fantasy', 'Romance', 'Sport']","[['Domestic', 81640278], ['International', 81640278]]","['Warren Beatty', 'Buck Henry', 'Elaine May', 'Warren Beatty', 'Harry Segall', 'Robert Towne', 'Warren Beatty', 'Dave Grusin', 'William A. Fraker', 'Robert C. Jones', 'Don Zimmerman', 'Paul Sylbert']","['Warren Beatty', 'James Mason', 'Julie Christie', 'Jack Warden']"
Eight Below,Walt Disney Studios Motion Pictures,40000000.0,20188176.0,2006-02-17,PG,,"['Adventure', 'Drama', 'Family']","[['Domestic', 81612565], ['International', 38843429], ['Worldwide', 120455994]]","['Frank Marshall', 'David DiGilio', 'Toshirô Ishidô', 'Koreyoshi Kurahara', 'Tatsuo Nogami', 'Susumu Saji', 'Patrick Crowley', 'David Hoberman', 'Mark Isham', 'Don Burgess', 'Christopher Rouse', 'John Willett']","['Paul Walker', 'Jason Biggs', 'Bruce Greenwood', 'Moon Bloodgood']"
MASH,Twentieth Century Fox,3500000.0,,1970-01-25,R,116.0,"['Comedy', 'Drama', 'War']","[['Domestic', 81600000], ['International', 81600000]]","['Robert Altman', 'Richard Hooker', 'Ring Lardner Jr.', 'Ingo Preminger', 'Johnny Mandel', 'Harold E. Stine', 'Danford B. Greene']","['Donald Sutherland', 'Elliott Gould', 'Tom Skerritt', 'Sally Kellerman']"
